-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                                                        SessionName                                                        |                                                      SessionAbstract                                                      |      SessionL       |                                                          Summary                                                          |                                                           Goals                                                           |  R  |                                                      Elevator pitch                                                       |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| SQL Server Hates you(?)  - What the DBAs Forgot to Tell the                                                               | Have you had performance tank despite the code working fine in                                                            |                 200 |                                                                                                                           | Gain a better understanding of the consequences of leaving things                                                         |   0 | Have you had performance tank despite the code working fine in                                                            |
| Developers                                                                                                                | another environment? Maybe heard that some SQL is bad but not                                                             |                     |                                                                                                                           | at the default setting,                                                                                                   |     | another environment? Maybe heard that some SQL is bad but not                                                             |
|                                                                                                                           | why? If so, this is the session for you!                                                                                  |                     |                                                                                                                           | Learn to identify and avoid common developer mistakes,                                                                    |     | why?                                                                                                                      |
|                                                                                                                           | This session will start with a walkthrough of some of the basic                                                           |                     |                                                                                                                           | Gain a better understanding of how SQL Server process queries                                                             |     | This session will start with a walkthrough of some of the basic                                                           |
|                                                                                                                           | settings in SQL Server and how they affect you as a developer. It                                                         |                     |                                                                                                                           |                                                                                                                           |     | settings in SQL Server and how they affect you as a developer. It                                                         |
|                                                                                                                           | follows with key tips on what settings to change, why some code will                                                      |                     |                                                                                                                           |                                                                                                                           |     | follows with key tips on what settings to change, why some code will                                                      |
|                                                                                                                           | wreak havoc on your performance and how isolation levels matter                                                           |                     |                                                                                                                           |                                                                                                                           |     | wreak havoc on your performance and how isolation levels matter                                                           |
|                                                                                                                           | (and why NOLOCK can be an exceptionally bad idea!) The session                                                            |                     |                                                                                                                           |                                                                                                                           |     | (and why NOLOCK can be an exceptionally bad idea!) This session                                                           |
|                                                                                                                           | is led by a 20-year DBA veteran who decided to try to help                                                                |                     |                                                                                                                           |                                                                                                                           |     | will provide you with the tools to think outside the box and                                                              |
|                                                                                                                           | developers understand performance issues by seeing things from                                                            |                     |                                                                                                                           |                                                                                                                           |     | incorporate database engine knowledge into your developer                                                                 |
|                                                                                                                           | his perspective.                                                                                                          |                     |                                                                                                                           |                                                                                                                           |     | prowess!                                                                                                                  |
|                                                                                                                           | If you want to explore how default settings kill your performance,                                                        |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | investigate why harmless SQL might not be quite so harmless and                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | gain insight into how isolation levels affect function and performance,                                                   |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |  then this session will provide you with the tools to think outside the                                                   |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | box and incorporate database engine knowledge into your                                                                   |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | developer prowess!                                                                                                        |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
